1;USD;712005 0:00;0.99980004
1;USD;722005 0:00;1.000900811
1;USD;732005 0:00;0.99960016
1;USD;742005 0:00;1
1;USD;752005 0:00;0.99960016
1;USD;762005 0:00;1.00050025
1;USD;772005 0:00;0.99950025
1;USD;782005 0:00;1.00020004
1;USD;792005 0:00;0.999200639
1;USD;7102005 0:00;1.00020004
1;USD;7112005 0:00;0.99960016
1;USD;7122005 0:00;1.000900811
1;USD;7132005 0:00;0.99960016
1;USD;7142005 0:00;1.000800641
1;USD;7152005 0:00;0.99930049
1;USD;7162005 0:00;1.001001001
1;USD;7172005 0:00;0.99930049
1;USD;7182005 0:00;1.000900811
1;USD;7192005 0:00;0.99990001
1;USD;7202005 0:00;1.00070049
1;USD;7212005 0:00;0.99960016
1;USD;7222005 0:00;1.00050025
1;USD;7232005 0:00;0.99960016
1;USD;7242005 0:00;1.001001001
1;USD;7252005 0:00;1
1.00040016;USD;7262005 0:00;1.001101211
1.00040016;USD;7272005 0:00;1.00030009
1.00040016;USD;7282005 0:00;1.00070049
1.00040016;USD;7292005 0:00;0.99980004
1.00040016;USD;7302005 0:00;1.001001001
1.00040016;USD;7312005 0:00;0.99990001
1.00040016;USD;812005 0:00;1.001101211
1.00040016;USD;822005 0:00;0.99960016
1.00040016;USD;832005 0:00;1.001001001
1.00040016;USD;842005 0:00;1.00030009
1.00040016;USD;852005 0:00;1.000900811
1.00040016;USD;862005 0:00;0.99960016
1.00040016;USD;872005 0:00;1.000900811
1.00040016;USD;882005 0:00;1
1.00040016;USD;892005 0:00;1.00070049
1.00040016;USD;8102005 0:00;0.99960016
1.00040016;USD;8112005 0:00;1.000900811
1.00040016;USD;8122005 0:00;0.99970009
1.00040016;USD;8132005 0:00;1.00050025
1.00010001;USD;8142005 0:00;1.00010001
1.00020004;USD;8152005 0:00;1.001001001
1.00010001;USD;8162005 0:00;0.99970009
1.00010001;USD;8172005 0:00;1.00020004
1.00010001;USD;8182005 0:00;0.99950025
1.00010001;USD;8192005 0:00;1.001001001
1.00010001;USD;8202005 0:00;0.99990001
1.00010001;USD;8212005 0:00;1.00070049
1.00010001;USD;8222005 0:00;1
1.00010001;USD;8232005 0:00;1.00010001
1.00040016;USD;8242005 0:00;1.00010001
1.00040016;USD;8252005 0:00;1.001201442
1.00040016;USD;8262005 0:00;1
1.00010001;USD;8272005 0:00;1.00010001
1.00010001;USD;8282005 0:00;0.99970009
1.00010001;USD;8292005 0:00;1.001001001
1.00020004;USD;8302005 0:00;0.99970009
1.000800641;USD;8312005 0:00;1.001101211
1.000800641;USD;912005 0:00;1.00040016
1.000800641;USD;922005 0:00;1.001001001
1.00010001;USD;932005 0:00;0.99960016
1.00010001;USD;942005 0:00;1.001001001
1.00020004;USD;952005 0:00;0.99990001
1.00020004;USD;962005 0:00;1.00040016
1.00050025;USD;972005 0:00;0.99990001
1.00050025;USD;982005 0:00;1.001001001
1.00050025;USD;992005 0:00;1
1.00010001;USD;9102005 0:00;1.00040016
1.00020004;USD;9112005 0:00;0.99990001
1.00020004;USD;9122005 0:00;1.001101211
1.00020004;USD;9132005 0:00;0.99990001
1;USD;9142005 0:00;1.000900811
1;USD;9152005 0:00;0.99980004
1;USD;9162005 0:00;1.00030009
1.00020004;USD;9172005 0:00;0.99960016
1.00020004;USD;9182005 0:00;1.000800641
1.00020004;USD;9192005 0:00;1.00010001
1.00020004;USD;9202005 0:00;1.001101211
1.00070049;USD;9212005 0:00;1.00020004
1.00070049;USD;9222005 0:00;1.000800641
1.00070049;USD;9232005 0:00;0.99960016
1.00020004;USD;9242005 0:00;1.001101211
1.00020004;USD;9252005 0:00;1.00020004
1.00020004;USD;9262005 0:00;1.000800641
1.00020004;USD;9272005 0:00;0.99950025
1.00623868;USD;9282005 0:00;1.006441224
1.00623868;USD;9292005 0:00;1.006036217
1.00623868;USD;9302005 0:00;1.006339942
1.00020004;USD;1012005 0:00;0.99960016
1.00020004;USD;1022005 0:00;1.000800641
1.00020004;USD;1032005 0:00;0.99960016
1.00020004;USD;1042005 0:00;1.001201442
1.000800641;USD;1052005 0:00;0.99970009
1.000800641;USD;1062005 0:00;1.001101211
1.000800641;USD;1072005 0:00;0.99990001
1.00020004;USD;1082005 0:00;1.00020004
1.00010001;USD;1092005 0:00;0.99980004
1.00020004;USD;10102005 0:00;1.001101211
1.00020004;USD;10112005 0:00;0.99980004
1.00050025;USD;10122005 0:00;1.001301692
1.00050025;USD;10132005 0:00;0.99960016
1.00050025;USD;10142005 0:00;1.001101211
1.00010001;USD;10152005 0:00;0.99940036
1.00010001;USD;10162005 0:00;1.00040016
1.00020004;USD;10172005 0:00;0.99960016
1.00020004;USD;10182005 0:00;1.001101211
1.00050025;USD;10192005 0:00;1.00030009
1.00050025;USD;10202005 0:00;1.000900811
1.00050025;USD;10212005 0:00;1
1.00010001;USD;10222005 0:00;1.00040016
1.00010001;USD;10232005 0:00;0.99980004
1.00010001;USD;10242005 0:00;1.00010001
1.00010001;USD;10252005 0:00;0.99960016
1.00050025;USD;10262005 0:00;1.001301692
1.00050025;USD;10272005 0:00;0.99970009
1.00050025;USD;10282005 0:00;1.001401963
1.00020004;USD;10292005 0:00;0.99950025
1.00020004;USD;10302005 0:00;1.001101211
1.00020004;USD;10312005 0:00;0.99960016
1.00020004;USD;1112005 0:00;1.00030009
1.00050025;USD;1122005 0:00;0.99970009
1.00050025;USD;1132005 0:00;1.001101211
1.00050025;USD;1142005 0:00;1.00010001
1.00020004;USD;1152005 0:00;1.001101211
1.00020004;USD;1162005 0:00;0.99990001
1.00010001;USD;1172005 0:00;1.00030009
1.00020004;USD;1182005 0:00;0.99990001
1.00050025;USD;1192005 0:00;1.001201442
1.00050025;USD;11102005 0:00;0.99980004
1.00050025;USD;11112005 0:00;1.00070049
1.00010001;USD;11122005 0:00;1.00010001
1.00010001;USD;11132005 0:00;1.000900811
1.00010001;USD;11142005 0:00;0.99960016
1.00010001;USD;11152005 0:00;1.00030009
1.00050025;USD;11162005 0:00;0.99960016
1.00050025;USD;11172005 0:00;1.000900811
1.00050025;USD;11182005 0:00;0.99960016
1.00020004;USD;11192005 0:00;1.00070049
1.00020004;USD;11202005 0:00;1.00010001
1.00020004;USD;11212005 0:00;1.00020004
1.00020004;USD;11222005 0:00;0.99960016
1.00050025;USD;11232005 0:00;1.00070049
1.00050025;USD;11242005 0:00;0.99960016
1.00050025;USD;11252005 0:00;1.00050025
1.00020004;USD;11262005 0:00;0.99950025
1.00020004;USD;11272005 0:00;1.00070049
1.00020004;USD;11282005 0:00;0.99980004
1.00020004;USD;11292005 0:00;1.00050025
1.00050025;USD;11302005 0:00;1.00040016
1.00050025;USD;1212005 0:00;1.001001001
1.00050025;USD;1222005 0:00;1.00040016
1.00010001;USD;1232005 0:00;1.00050025
1.00010001;USD;1242005 0:00;0.99990001
1.001001001;USD;1252005 0:00;1.001001001
1.001001001;USD;1262005 0:00;1.00050025
1.001001001;USD;1272005 0:00;1.001502253
1.00040016;USD;1282005 0:00;0.99970009
1.00030009;USD;1292005 0:00;1.000800641
1.00020004;USD;12102005 0:00;0.99940036
1.00020004;USD;12112005 0:00;1.001001001
1.00020004;USD;12122005 0:00;0.99990001
1.00020004;USD;12132005 0:00;1.001001001
1.000800641;USD;12142005 0:00;1.00020004
1.000800641;USD;12152005 0:00;1.001101211
1.000800641;USD;12162005 0:00;0.99990001
1.000800641;USD;12172005 0:00;1.001301692
1.00020004;USD;12182005 0:00;0.99960016
1.00020004;USD;12192005 0:00;1.00020004
1.00020004;USD;12202005 0:00;0.99960016
