ID_Venta,ID_Cliente,ID_Producto,Fecha,Cantidad,Precio_Unitario
1,173,243,2024-11-16,3,128.57111286724904
2,107,293,2024-03-04,1,137.97254970288293
3,135,227,2024-09-22,6,94.50531963687479
4,190,252,2024-12-16,10,100.02510123066659
5,154,215,2024-05-30,9,172.21119858265533
6,189,281,2024-12-04,9,152.48325832703742
7,166,268,2024-12-08,7,78.9023666154475
8,117,238,2024-04-23,8,36.46651330945272
9,120,256,2024-11-27,2,115.61263901684455
10,196,219,2024-05-17,5,59.845475375956
11,165,237,2024-05-04,5,21.861770459999086
12,174,238,2024-06-26,9,156.8921615743996
13,153,243,2024-07-22,4,115.07439691263195
14,180,248,2024-05-25,3,132.73878025931037
15,173,275,2024-04-19,1,121.37863514260528
16,131,272,2024-06-03,10,118.83798809595102
17,182,243,2024-04-03,1,67.04090417097032
18,151,257,2024-12-05,4,19.779577425598305
19,103,225,2024-04-22,2,79.22447669652347
20,125,288,2024-07-01,4,147.62032950950086
21,147,257,2024-10-13,9,79.76315094909647
22,142,275,2024-05-24,3,75.82106618201793
23,173,267,2024-06-27,9,79.36538830931087
24,192,254,2024-02-20,3,20.040097917492318
25,156,285,2024-08-14,10,109.1896414210688
26,152,241,2024-06-25,1,186.47605260869256
27,172,201,2024-04-16,6,150.0064411561067
28,139,260,2024-02-08,10,67.41146528511165
29,191,297,2024-02-22,3,111.67974823217816
30,164,257,2024-11-18,7,185.2040146304979
31,156,230,2024-10-29,8,198.53131909515128
32,181,266,2024-04-19,10,57.60573541467138
33,125,265,2024-02-02,8,96.82910793998687
34,101,212,2024-01-09,4,10.200117868600602
35,176,207,2024-01-09,1,173.5843773655193
36,101,246,2024-04-14,2,182.03296153883923
37,136,224,2024-07-03,4,194.7641922985836
38,173,260,2024-11-01,4,135.01779869934506
39,146,241,2024-10-22,7,118.96626531780441
40,157,237,2024-07-31,2,138.4587153328893
41,170,253,2024-07-20,2,77.18528909314237
42,104,292,2024-05-16,6,107.01512441290191
43,145,216,2024-08-14,10,149.18282031647945
44,133,293,2024-06-09,9,35.06917205338769
45,175,212,2024-07-31,2,30.985126465658343
46,189,242,2024-05-10,8,61.81821341785021
47,162,214,2024-05-14,6,145.28702638968218
48,148,246,2024-08-06,7,134.1244495809363
49,158,216,2024-02-15,4,72.99412836589032
50,112,278,2024-06-15,9,165.45445998061567
51,187,266,2024-10-28,7,22.19539587355201
52,188,269,2024-09-16,10,78.7214554030548
53,161,292,2024-06-14,5,119.83104209294426
54,160,214,2024-07-14,5,62.22838131939112
55,119,299,2024-01-29,9,48.49075060887067
56,188,208,2024-10-26,2,76.42611138361771
57,118,230,2024-01-18,7,44.17794297634431
58,117,221,2024-11-20,5,51.616817240905455
59,197,251,2024-10-17,5,85.30607983055063
60,171,299,2024-03-18,4,147.35539679104633
61,142,265,2024-11-29,9,41.17019496891845
62,135,266,2024-04-29,3,50.03146304953413
63,105,242,2024-09-11,10,99.58481431390275
64,157,248,2024-12-19,2,38.3870346998187
65,194,234,2024-06-13,4,22.716594730409135
66,198,231,2024-07-13,5,140.89392247019094
67,122,213,2024-10-13,4,47.6298295196911
68,121,263,2024-06-17,5,97.58110487652031
69,106,257,2024-06-22,6,49.146886139385195
70,190,274,2024-09-04,1,150.6311158806769
71,192,263,2024-06-17,6,142.36943024854287
72,121,261,2024-03-29,1,73.28768709516964
73,111,227,2024-07-15,2,149.46185708763107
74,191,258,2024-09-25,5,183.67793063267038
75,169,231,2024-04-23,4,184.74341990638806
76,118,272,2024-04-18,6,63.906346281009974
77,119,202,2024-02-18,7,178.84544572060395
78,150,266,2024-09-19,4,193.46949626723153
79,193,232,2024-04-23,8,20.49445726396891
80,146,288,2024-02-16,6,91.54858500829792
81,125,245,2024-10-22,10,55.865171282051286
82,158,247,2024-02-16,7,68.25455252490971
83,106,213,2024-07-10,10,74.93578003013316
84,116,220,2024-02-17,2,132.2227140911475
85,155,232,2024-06-17,3,63.8781928875136
86,188,222,2024-06-21,5,44.218414297487044
87,106,210,2024-01-19,9,51.9121090676146
88,184,268,2024-07-16,7,157.25258366650752
89,128,289,2024-04-11,8,59.79891686110793
90,120,226,2024-04-30,8,137.7853535696004
91,137,276,2024-01-08,7,176.2963898278831
92,175,219,2024-10-03,1,29.856524588831462
93,180,259,2024-11-13,5,93.35447815386405
94,189,251,2024-11-14,9,68.97583796571175
95,124,269,2024-09-09,8,35.85200357497683
96,150,294,2024-02-25,7,91.09413081681419
97,107,228,2024-10-20,6,136.1055181049797
98,104,296,2024-10-13,7,26.372820383261956
99,155,237,2024-02-08,7,91.54298469441366
100,182,258,2024-09-22,2,169.42881424505174
101,141,269,2024-05-18,7,20.612872409590246
102,176,271,2024-05-02,3,90.33880914809991
103,146,276,2024-07-09,6,145.80229894403087
104,116,288,2024-11-17,9,28.35433150768626
105,138,297,2024-05-28,1,67.48714396255242
106,125,277,2024-07-15,7,103.94164887643313
107,105,254,2024-11-21,6,121.76192469912982
108,136,273,2024-08-04,3,30.07015194881671
109,168,221,2024-07-20,6,153.62409310971748
110,178,217,2024-04-22,7,100.40811340054849
111,112,215,2024-05-25,7,38.02832879041163
112,113,220,2024-10-24,3,51.3640169064323
113,161,250,2024-02-18,2,137.15159973500982
114,181,217,2024-08-26,10,127.07638299540444
115,102,269,2024-05-09,10,130.33789738853295
116,108,220,2024-08-05,6,121.72670645972335
117,195,212,2024-05-28,2,155.4306256039703
118,142,268,2024-03-29,7,44.27796352717351
119,138,250,2024-02-12,1,176.62940039906584
120,112,279,2024-05-27,2,155.46976977915688
121,132,207,2024-09-09,2,76.00293921132294
122,151,275,2024-11-27,8,32.08411576656121
123,150,284,2024-05-28,3,184.05163997889787
124,158,220,2024-04-10,2,119.86910780885016
125,113,209,2024-04-07,6,79.21132237326921
126,155,262,2024-04-16,5,125.27954536841276
127,128,243,2024-06-02,9,66.05743007594873
128,135,239,2024-02-02,8,169.22048128774392
129,199,224,2024-02-23,1,123.51125357729238
130,144,285,2024-12-12,5,186.63629569397395
131,151,215,2024-08-26,8,35.463073918203776
132,133,249,2024-10-26,4,140.94323569991985
133,156,237,2024-11-17,10,50.289921402175466
134,162,217,2024-09-07,7,167.4408520348368
135,199,256,2024-10-12,2,125.95247269433703
136,155,242,2024-04-15,2,46.03924799665774
137,164,210,2024-12-14,4,78.46437514657312
138,102,233,2024-02-23,6,123.84772695696942
139,110,272,2024-04-12,9,70.0490630819944
140,143,235,2024-06-11,4,195.37827920074048
141,198,275,2024-11-07,9,161.96000430838546
142,197,285,2024-06-05,5,51.57762962166193
143,195,263,2024-08-06,2,86.78095363973846
144,169,251,2024-07-28,7,117.02991812369183
145,156,223,2024-07-04,8,133.4687176501938
146,156,291,2024-09-28,10,18.961384019472842
147,181,233,2024-10-31,3,133.4548776273773
148,172,254,2024-11-18,9,51.58061050001602
149,153,258,2024-09-30,9,151.56354282169644
150,173,289,2024-09-22,2,15.632692151904607
151,176,283,2024-07-16,4,192.38091515522297
152,155,276,2024-05-23,5,107.98338250656111
153,184,238,2024-06-26,3,13.095871543283451
154,176,202,2024-03-27,7,10.867162168149283
155,150,256,2024-08-29,9,134.17562035099365
156,163,216,2024-01-31,6,93.88700142415185
157,144,214,2024-07-20,7,154.74754458587702
158,153,241,2024-01-02,4,161.15114533868328
159,153,208,2024-11-21,4,89.87677356787539
160,155,296,2024-05-03,4,188.2607032055726
161,200,277,2024-06-09,5,27.30439390018488
162,179,283,2024-07-27,4,19.537837661873624
163,140,276,2024-01-14,9,129.92542115121
164,197,284,2024-01-19,8,21.260277955687116
165,151,274,2024-12-16,7,143.27784698052315
166,103,277,2024-07-31,7,34.683821665499636
167,173,219,2024-05-24,1,163.33149809544923
168,133,213,2024-02-13,5,88.73565125245865
169,135,260,2024-11-27,4,138.0818514580426
170,118,300,2024-01-06,5,171.5610067213403
171,185,207,2024-06-05,6,104.60088362296581
172,164,290,2024-03-10,9,150.47310187226253
173,150,291,2024-02-29,2,152.58864321887654
174,151,259,2024-02-28,3,84.08381038656299
175,168,203,2024-01-29,6,41.93163880121298
176,196,241,2024-01-17,2,62.53644479552923
177,156,238,2024-07-30,4,37.31469540377299
178,178,235,2024-10-19,10,159.3148127176054
179,140,283,2024-03-13,5,32.95780282315856
180,191,242,2024-01-31,4,164.08053713400545
181,198,226,2024-02-02,7,187.23642938823832
182,110,216,2024-09-28,10,47.40142063969916
183,164,244,2024-05-29,10,65.87007554603696
184,115,264,2024-03-14,10,88.24923827726198
185,161,215,2024-12-22,6,133.4339640119744
186,165,205,2024-07-02,1,161.07787701013376
187,166,298,2024-10-17,1,104.09884819958145
188,164,292,2024-03-08,3,33.672577808887375
189,111,224,2024-09-02,10,40.777255876564425
190,196,210,2024-12-22,5,67.68251153967704
191,111,202,2024-01-05,1,164.33934766745887
192,108,204,2024-06-18,6,131.90021435678284
193,105,276,2024-11-06,10,134.6292668563692
194,150,212,2024-09-10,3,98.55404818800271
195,182,243,2024-11-12,2,92.25040799523612
196,160,267,2024-05-25,3,187.89916371100895
197,149,300,2024-02-08,1,150.64502839115235
198,129,222,2024-10-28,8,83.28531711451856
199,195,298,2024-07-10,9,76.18494415582414
200,159,284,2024-08-28,7,93.95600753546393
201,106,281,2024-10-28,1,88.96156406156783
202,172,266,2024-10-22,2,122.5874590610867
203,146,293,2024-05-11,7,50.11078515644817
204,166,202,2024-06-18,7,36.73997307159394
205,143,262,2024-10-04,8,118.16981580614475
206,174,207,2024-10-06,2,11.930966720153128
207,128,261,2024-08-26,2,131.01672939876855
208,158,278,2024-07-10,3,82.6228813797382
209,113,233,2024-11-02,9,95.54827136475718
210,180,299,2024-10-30,1,133.91672762993323
211,187,262,2024-03-20,2,154.35587768823132
212,163,228,2024-09-20,3,18.439891947928377
213,145,235,2024-12-04,8,138.70647934103596
214,120,220,2024-01-28,2,143.72494487481123
215,133,240,2024-05-01,7,18.51325990220908
216,128,237,2024-11-22,10,119.96070836318161
217,188,263,2024-06-25,5,13.513051466017576
218,173,293,2024-01-01,3,59.55301403956657
219,199,230,2024-11-11,8,36.483867035386666
220,171,203,2024-01-28,8,28.025820205095794
221,149,267,2024-09-29,10,143.1843117399564
222,114,211,2024-01-21,10,145.81379644010164
223,165,248,2024-04-04,5,36.66097655540092
224,123,231,2024-09-21,3,117.35198858771682
225,117,227,2024-05-07,7,183.74526141062893
226,160,253,2024-09-02,10,124.9106349646825
227,157,254,2024-04-19,6,100.31553692905926
228,115,295,2024-07-23,5,105.49882195756499
229,109,215,2024-11-04,6,63.684420498711084
230,118,206,2024-07-14,2,106.47956548576317
231,180,235,2024-05-28,9,115.32262356022478
232,178,225,2024-11-13,2,64.7151252439433
233,174,253,2024-05-31,5,192.91852794805317
234,194,213,2024-08-04,7,82.83879457917422
235,185,287,2024-10-28,4,42.254812235042266
236,101,249,2024-09-28,5,85.2333556198991
237,165,217,2024-02-15,7,89.29949573056057
238,162,245,2024-04-19,9,56.18808743002397
239,140,273,2024-11-01,8,179.70675803096006
240,189,272,2024-10-30,6,159.02790450748964
241,182,271,2024-04-14,4,185.0809447579567
242,169,270,2024-10-31,7,112.73811394471667
243,168,285,2024-09-11,7,180.1272598187789
244,144,295,2024-06-22,2,152.72477279133844
245,198,241,2024-02-25,5,127.89726194213874
246,148,242,2024-01-05,5,10.51571756399455
247,181,260,2024-07-28,10,38.5928793562546
248,107,205,2024-11-22,7,47.804753921727475
249,109,212,2024-11-17,10,71.25255395432373
250,189,297,2024-05-30,2,191.64584912353465
251,108,275,2024-03-30,2,115.7329568020162
252,124,254,2024-01-11,3,198.68120819579661
253,185,243,2024-10-29,9,160.93710525696386
254,139,247,2024-10-27,9,187.23737118822865
255,117,279,2024-04-30,5,142.150412634336
256,116,221,2024-09-26,8,197.57636843685435
257,133,295,2024-08-13,3,153.1194852617453
258,176,226,2024-02-20,10,20.515102146460315
259,105,265,2024-04-23,1,105.50297204348279
260,152,249,2024-07-28,6,187.1939758669979
261,199,215,2024-04-20,4,176.08611060468235
262,146,281,2024-02-08,7,121.398546618909
263,137,238,2024-10-21,5,99.32525742614624
264,192,233,2024-01-18,2,151.5057277489012
265,164,205,2024-04-12,7,40.01824128197029
266,118,272,2024-11-23,9,63.23660998652102
267,197,213,2024-02-27,2,122.60323246963104
268,197,208,2024-04-08,7,54.39917660327867
269,115,232,2024-12-04,8,173.40832683377195
270,142,213,2024-11-14,9,171.9683239340437
271,194,228,2024-06-09,5,35.056732782723046
272,131,221,2024-04-12,7,85.37831979770715
273,112,299,2024-09-30,2,135.08482055119802
274,141,219,2024-03-28,6,174.0305407577221
275,184,223,2024-03-06,1,158.45503670294028
276,175,206,2024-03-29,8,31.342853182242244
